district_code,district_name,state,total_filed,est_violations,prior_rate,prose_rate,dismiss_rate,pathology,high_prior_flag,high_prose_flag,median_prior_threshold,median_prose_threshold,retrieved_at,source
88,D. Utah,UT,68435,3257,49.3,4.4,64.0,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
3A,M.D. Fla.,FL,150813,3141,27.8,14.7,58.0,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
47,N.D. Ohio,OH,71529,3121,37.0,4.1,50.6,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
60,E.D. Ark.,AR,61314,2968,44.3,1.0,61.8,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
39,N.D. Tex.,TX,112225,2952,33.4,4.5,67.1,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
73,C.D. Cal.,CA,210421,2922,34.6,39.6,80.7,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
57,E.D. Wis.,WI,63554,2779,44.2,4.2,59.1,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
41,S.D. Tex.,TX,91806,2622,30.6,10.8,65.1,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
81,W.D. Wash.,WA,54585,2589,30.5,11.3,46.0,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
37,N.D. Miss.,MS,46407,2569,35.3,1.3,48.5,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
71,N.D. Cal.,CA,95102,2537,25.5,19.4,48.8,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
82,D. Colo.,CO,48406,2534,32.9,6.7,45.6,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
83,D. Kan.,KS,44949,2421,26.1,1.6,31.4,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
65,E.D. Mo.,MO,58254,2393,41.3,2.8,61.9,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
3C,S.D. Fla.,FL,130553,2380,21.6,15.6,55.7,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
28,S.D. Ala.,AL,54195,2318,33.2,0.8,55.1,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
23,W.D. Va.,VA,33036,2316,35.5,4.0,36.6,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
20,D.S.C.,SC,64712,2307,28.0,3.0,53.7,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
55,N.D. Ind.,IN,48108,2222,38.5,3.0,55.7,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
42,W.D. Tex.,TX,64677,2181,32.0,6.5,62.6,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
38,S.D. Miss.,MS,49176,2152,35.6,2.4,60.0,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
66,W.D. Mo.,MO,46548,2134,28.6,3.8,43.5,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
72,E.D. Cal.,CA,77105,2081,29.0,21.7,60.0,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
17,E.D.N.C.,NC,76657,2055,20.4,2.5,41.6,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
45,E.D. Mich.,MI,101865,2007,19.1,3.0,52.8,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
43,E.D. Ky.,KY,38429,1960,28.9,1.4,38.8,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
79,D. Or.,OR,40678,1921,28.6,6.0,41.7,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
04,D. Puerto Rico,PR,89959,1914,18.6,1.3,48.9,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
16,D. Maryland,MD,82868,1879,38.6,16.5,70.7,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
64,D. Minn.,MN,35287,1603,25.1,4.0,35.4,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
67,D. Neb.,NE,23240,1587,34.4,1.9,33.9,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
44,W.D. Ky.,KY,45240,1499,32.1,1.5,55.6,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
61,W.D. Ark.,AR,28549,1435,36.1,1.6,51.3,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
78,D. Nev.,NV,47516,1383,26.5,10.4,57.0,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
13,E.D. Pa.,PA,62101,1331,34.4,8.6,71.6,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
18,M.D.N.C.,NC,38950,1323,24.0,3.0,45.1,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
87,W.D. Okla.,OK,19616,1277,40.8,3.7,50.2,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
54,S.D. Ill.,IL,24161,1269,35.8,2.0,46.4,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
15,W.D. Pa.,PA,40927,1261,29.1,2.3,53.5,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
70,D. Ariz.,AZ,52776,1243,24.4,16.2,53.5,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
53,C.D. Ill.,IL,20330,1167,32.1,2.6,39.5,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
19,W.D.N.C.,NC,30496,1115,26.1,5.6,50.7,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
40,E.D. Tex.,TX,43538,1109,31.0,4.6,66.7,attorney_mill,True,False,30.0,4.8,2026-04-19,derived_from_xsect
14,M.D. Pa.,PA,34953,1082,26.2,6.1,49.4,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
06,N.D.N.Y.,NY,26604,933,22.8,2.9,41.8,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
80,E.D. Wash.,WA,14847,928,30.5,4.8,39.0,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
74,S.D. Cal.,CA,32979,809,30.8,20.1,63.6,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
3L,E.D. La.,LA,29170,789,23.1,6.7,52.8,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
58,W.D. Wis.,WI,14019,776,35.2,5.5,45.5,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
01,D. Massachusetts,MA,46415,732,23.2,10.7,61.2,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
09,W.D.N.Y.,NY,23717,726,24.0,3.5,46.0,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
46,W.D. Mich.,MI,23044,713,21.8,3.5,44.2,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
76,D. Idaho,ID,8371,523,46.1,8.0,58.1,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
08,S.D.N.Y.,NY,25112,457,24.9,18.9,59.0,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
11,D. Delaware,DE,12404,396,27.4,12.6,50.9,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
07,E.D.N.Y.,NY,52527,374,42.0,53.1,88.2,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
3N,M.D. La.,LA,11260,296,28.0,11.1,59.9,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
63,S.D. Iowa,IA,6598,235,29.0,9.3,51.8,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
02,D. New Hampshire,NH,9593,224,23.0,10.5,51.9,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
05,D. Connecticut,CT,16107,222,38.6,19.3,80.0,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
75,D. Hawaii,HI,8383,220,17.3,5.3,42.8,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
85,N.D. Okla.,OK,4798,206,32.3,6.4,52.0,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
84,D.N.M.,NM,5474,190,29.1,9.2,55.5,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
03,D. Rhode Island,RI,7977,169,30.0,18.6,62.3,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
86,E.D. Okla.,OK,2547,145,29.2,4.8,43.9,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
00,D. Maine,ME,5129,138,17.8,4.6,38.8,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
29,N.D. Fla.,FL,8733,133,21.4,11.7,65.1,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
24,N.D.W. Va.,WV,3393,132,22.8,9.8,37.0,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
25,S.D.W. Va.,WV,3722,101,20.3,6.2,43.3,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
77,D. Mont.,MT,3774,100,16.9,9.3,37.2,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
69,D.S.D.,SD,2306,94,23.5,4.2,38.4,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
62,N.D. Iowa,IA,2412,89,29.6,11.8,52.1,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
89,D. Wyo.,WY,1963,71,28.1,10.4,56.7,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
10,D. Vermont,VT,2548,70,13.2,2.8,24.9,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
68,D.N.D.,ND,1635,68,20.2,5.0,32.4,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
90,D.D.C.,DC,3021,51,31.3,31.0,74.5,mixed_pathology,True,True,30.0,4.8,2026-04-19,derived_from_xsect
7-,D. Alaska,AK,1555,23,15.4,18.2,55.6,prose_pathology,False,True,30.0,4.8,2026-04-19,derived_from_xsect
93,D. Guam,GU,396,6,11.6,2.0,42.0,baseline,False,False,30.0,4.8,2026-04-19,derived_from_xsect
